track_id,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
418L5EYIMytrwJ83L7t3kx,219733,0.579,0.794,-3.879,0.0308,0.0229,1.83e-05,0.141,0.655,118.472
633xqd4Nh0Wf9hqQecc8Cg,214347,0.651,0.796,-4.615,0.0569,0.0041,0.0933,0.136,0.497,116.07
1NVBKMyoSApotpFSq7k02a,245187,0.653,0.846,-3.966,0.0297,0.0266,2.92e-06,0.399,0.871,104.109
1wbKfJd7khzXGHPJjeRC2E,195413,0.66,0.839,-3.232,0.0308,0.139,0.0,0.0676,0.366,114.517
1mLStmTgqH0nBzds3S4jkJ,262867,0.677,0.77,-4.245,0.0255,0.00717,1.04e-05,0.0425,0.686,105.009
2jZk9Hh81GoIt90nM2D3Uv,212667,0.675,0.561,-5.77,0.0285,0.0883,2.12e-06,0.35,0.525,112.0
087QBfypEaxLAHhIxMz2MM,175307,0.595,0.405,-6.922,0.0265,0.704,1.39e-05,0.104,0.33,78.519
6L7l9SaUBTFuZmYCTNbXs1,222933,0.57,0.971,-4.392,0.0618,0.000854,0.0,0.441,0.902,116.542
48k71kuaodYBKDiNG5S2zD,195467,0.459,0.479,-5.445,0.0289,0.321,0.000448,0.114,0.237,145.101
0KednpCIKKLMC17fcW80cN,209549,0.405,0.437,-6.996,0.0517,0.141,0.0,0.393,0.248,184.232
3CAqTfkRgmImhxYDjyL6S7,151734,0.728,0.701,-6.58,0.0406,0.0945,2.08e-05,0.181,0.413,137.97
3Cn324qhZyTLKGgPeYPccP,175643,0.501,0.537,-7.405,0.142,0.0691,0.0,0.125,0.151,135.944
34a3lGtgV3hZ3RL0ryHail,227545,0.634,0.65,-7.308,0.0365,0.11,0.0,0.157,0.0637,114.951
5A3fPy30SN2wuzrahpcxvV,196188,0.641,0.537,-5.452,0.0282,0.0875,9.05e-06,0.115,0.0681,112.864
2SPqhlmGmYCM4oU4HGCnsx,206509,0.673,0.503,-6.67,0.169,0.411,0.0,0.319,0.328,91.011
6Pg2d0AVVP63OPF6COHll6,221787,0.465,0.204,-9.747,0.0318,0.865,0.0,0.0957,0.257,73.636
2uRjTul8fMFYnDOVYzUJtt,184373,0.688,0.637,-6.26,0.348,0.0148,0.0,0.174,0.637,70.199
4u8dybCHRYmvpkYOqfHx0h,159425,0.643,0.353,-9.405,0.0718,0.524,0.0,0.143,0.263,171.838
0cIZHBaBYJinNPzYLkv49W,156032,0.749,0.588,-6.149,0.0734,0.3,0.0,0.0957,0.425,86.987
7lxqdKzfQVb5bNEUcdIQ7v,184262,0.661,0.619,-6.102,0.0629,0.0272,0.0,0.0556,0.308,150.043
0fQH3I3GoZS1J8m5go7lb8,186702,0.67,0.57,-6.723,0.114,0.0177,2.24e-05,0.0555,0.44,176.029
4TiR0MyPK2BwGp8fDeN1EX,160964,0.725,0.202,-13.847,0.0325,0.663,0.0,0.216,0.409,89.12
0fiijtFXDJ9MOVwgSaEQJ5,196188,0.64,0.537,-5.452,0.0282,0.0875,9.84e-06,0.11,0.0676,112.868
2XLiCp6adsauJyY6HJb5Gr,160964,0.725,0.203,-13.847,0.0324,0.667,0.0,0.216,0.41,89.123
1likxiGuFOCkY2WtGbHj3F,177925,0.595,0.81,-3.665,0.0465,0.413,0.0,0.111,0.482,99.947
3xriS8wd6Q0de39EKMPCTE,186557,0.74,0.774,-4.859,0.17,0.291,0.0,0.192,0.606,100.048
66bVLKIOwOHbHcnO7nLKpL,219376,0.57,0.473,-7.53,0.331,0.0691,0.0,0.108,0.266,165.961
52wnAU4NzOqRIEMiGNthiK,180460,0.836,0.691,-5.702,0.0736,0.157,0.0,0.303,0.649,99.921
5NDUXbMwcnTQp66tI2zcdR,198001,0.828,0.56,-6.685,0.0327,0.548,3.66e-05,0.15,0.872,122.054
1mRiY74pNcCrKkWz6NjdYV,201865,0.758,0.806,-6.112,0.0493,0.271,0.0,0.107,0.572,129.918
