track_id	track_name	track_artist_id	track_album_id	track_popularity	track_explicit
3ko9jEHNt4O5fjKN65ULJp	shut up	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	72	True
6Im9k8u9iIzKMrmV7BWtlF	34+35	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	92	True
5GkQIP5mWPi4KZLLXeuFTT	motive (with Doja Cat)	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	78	True
7Dx9Z6Aon1qPS2N0rHSWTe	just like magic	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	76	True
7E1jVNoWuemqUryI4FxsVD	off the table (with The Weeknd)	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	74	False
2IKJtXeR5UsaUjZB46fTOK	six thirty	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	72	True
14gkWVFMwdxBMyqBw1wmIg	safety net (feat. Ty Dolla $ign)	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	74	False
6u7gmPOz7pzzaeR9xSBpsR	my hair	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	72	False
0sci7ppTZFm4mjcH3nu8yO	nasty	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	75	True
1whfVLMKWqAX3uk97VXsNN	west side	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	71	False
6NYtLvyThMT0oALFdJFdzq	love language	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	71	True
35mvY5S1H3J2QZyna3TFe0	positions	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	93	True
0q85C1JiECyYIQthz1posA	obvious	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	72	True
3UoULw70kMsiVXxW0L3A33	pov	66CXWjxzNUsdJxJ2JdwvnR	3euz4vS7ezKGnNSwgyvKcd	84	False
5SyCD1ic378B4rYWhDmuvo	raindrops (an angel cried) - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	52	False
67kQ3UW7saqCFqB54BVKKI	god is a woman - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	56	False
12s87E3EVHMYZQyr9mXsUi	bad idea - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	54	False
56feSEETtLwNjY5Xz8XbKI	break up with your girlfriend, i'm bored - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	53	True
2I2HYr4FLb6LPfdgcKxK2J	r.e.m - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	52	False
4OR2KU2qCnREBsSwwJ4PBn	be alright - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	52	False
1Bvxlmt3CtZTyls2IJQ38T	sweetener - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	52	False
7bfnkOya2SV8LLTsYmRQJR	successful - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	False
1FYLqciy2MckeKgTvOCawO	side to side - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	52	True
6va6SjWz457IOZidBppAhz	7 rings - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	54	True
6Q4JJnjX00q8O10OliHhjS	love me harder - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	51	False
1edP751qQSUaA1vo7Hva3w	breathin - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	53	True
1IVnvJN9oC3pDYv9qpAnj7	needy - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	51	True
5BYts42mYfuullBbELoaEV	fake smile - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	True
1TCEZgYrPjc2G5sBYJciuq	make up - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	True
7MjS7SoRzn8VXajFdV3t04	right there - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	49	False
6FmBKZxA3K1Ycr9spEeI15	you'll never know - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	False
1qfOSlQohddqAOGl3f8snd	break your heart right back - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	False
4jkikgyrlBMR4Fj3d1s4jT	nasa - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	False
6dB14UPKgEDLTp38BIKk6N	tattooed heart - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	53	False
5qmcKqCKRb4EFwRTsndXNe	only 1 - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	48	False
0ao5xnzWNAt0dZFF6v4Sct	goodnight n go - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	False
5XkiYqfFAXsXG4V2mGZET8	get well soon - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	47	False
58T204WTLWAs34lOvheS28	in my head interlude - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	47	True
2Hk1xo2ZrysHtBQMmZvg8U	everytime - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	52	False
0mQVABspENyHvpVqRpnkxJ	the light is coming - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	49	True
6rvHjRpnRhzQVeu8I5CqHp	into you - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	False
3HUJw4KvL5baIwuh0wWPoh	my heart belongs to daddy - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	47	False
5H7d8isXFW779pCK7lo4KT	dangerous woman - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	51	False
1LD1TFK08cFUBPmhi3FRAA	break free - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	False
32VSdGCv8wkAjUkVha9YBf	no tears left to cry - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	50	False
6AZaeRAPYnf5nKwV7HpSlQ	thank u, next - live	66CXWjxzNUsdJxJ2JdwvnR	5UACk85y1hNRSUtY0ss8pb	49	True
39LmTF9RgyakzSYX8txrow	imagine	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	72	True
1TEL6MlSSVLSdhOSddidlJ	needy	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	73	True
4uTvPEr01pjTbZgl7jcKBD	NASA	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	71	False
2hloaUoRonYssMuqLCBLTX	bloodline	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	70	True
3wFLWP0FcIqHK1wb1CPthQ	fake smile	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	69	True
5Il6Oe7lr5XM7A0cWbVQtr	bad idea	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	71	False
27356GVuMPFWiJSZCragoM	make up	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	67	True
2vdBo4ALPYbHRUPKgtE5iC	ghostin	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	69	False
4T652DlATVHe0jdLKaN3Bw	in my head	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	70	True
6ocbgoVGwYJhOv1GgI9NsF	7 rings	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	85	True
3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	83	True
4kV4N9D1iKVxx1KLvtTpjS	break up with your girlfriend, i'm bored	66CXWjxzNUsdJxJ2JdwvnR	2fYhqwDWXjbpjaIJPEfKFw	78	True
0v2LUO8oTHnkjQ8MmKuXyk	raindrops (an angel cried)	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	66	True
4mLkiFppf8Xvem6BSY34qw	blazed (feat. Pharrell Williams)	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	57	True
0sdbFOyfgAhAhWq8DpzkaW	the light is coming (feat. Nicki Minaj)	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	63	True
1xWH8zYtDeS9mW1JJG23VZ	R.E.M	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	68	True
5OCJzvD7sykQEKHH7qAC3C	God is a woman	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	79	True
70khXICDeTTxgYtw3EysKH	sweetener	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	68	True
5YeHLHDdQ4nKHk81XFWhCU	successful	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	67	True
0WdR2AyLW1Drd3OUdwezM0	everytime	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	70	True
4OafepJy2teCjYJbvFE60J	breathin	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	74	True
2qT1uLXPVPzGgFOx4jtEuo	no tears left to cry	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	79	False
4b7mLZQWsy0rLnrMtPA9fQ	borderline (feat. Missy Elliott)	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	59	True
3NbTQ8ZbHU6MSEVUFAVCJ9	better off	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	65	True
14kYOiFVPb7E7NfFbqhdln	goodnight n go	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	69	True
0XOnMqLQDO89iAg7dWWwnG	pete davidson	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	62	True
